"module name","version","license","development only","resolved"
"@babel/helper-string-parser","7.29.7","MIT","true","https://registry.npmjs.org/@babel/helper-string-parser/-/helper-string-parser-7.29.7.tgz"
"@babel/helper-validator-identifier","7.29.7","MIT","true","https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.29.7.tgz"
"@babel/parser","7.29.7","MIT","true","https://registry.npmjs.org/@babel/parser/-/parser-7.29.7.tgz"
"@babel/types","7.29.7","MIT","true","https://registry.npmjs.org/@babel/types/-/types-7.29.7.tgz"
"@electron/asar","3.4.1","MIT","true","https://registry.npmjs.org/@electron/asar/-/asar-3.4.1.tgz"
"@electron/fuses","1.8.0","MIT","true","https://registry.npmjs.org/@electron/fuses/-/fuses-1.8.0.tgz"
"@electron/get","2.0.3","MIT","true","https://registry.npmjs.org/@electron/get/-/get-2.0.3.tgz"
"@electron/get","3.1.0","MIT","true","https://registry.npmjs.org/@electron/get/-/get-3.1.0.tgz"
"@electron/notarize","2.5.0","MIT","true","https://registry.npmjs.org/@electron/notarize/-/notarize-2.5.0.tgz"
"@electron/osx-sign","1.3.3","BSD-2-Clause","true","https://registry.npmjs.org/@electron/osx-sign/-/osx-sign-1.3.3.tgz"
"@electron/rebuild","4.2.0","MIT","true","https://registry.npmjs.org/@electron/rebuild/-/rebuild-4.2.0.tgz"
"@electron/universal","2.0.3","MIT","true","https://registry.npmjs.org/@electron/universal/-/universal-2.0.3.tgz"
"@electron/windows-sign","1.2.2","BSD-2-Clause","true","https://registry.npmjs.org/@electron/windows-sign/-/windows-sign-1.2.2.tgz"
"@gar/promise-retry","1.0.3","MIT","false",""
"@isaacs/cliui","8.0.2","ISC","true","https://registry.npmjs.org/@isaacs/cliui/-/cliui-8.0.2.tgz"
"@isaacs/fs-minipass","4.0.1","ISC","false","https://registry.npmjs.org/@isaacs/fs-minipass/-/fs-minipass-4.0.1.tgz"
"@isaacs/fs-minipass","4.0.1","ISC","false",""
"@isaacs/string-locale-compare","1.1.0","ISC","false",""
"@malept/cross-spawn-promise","2.0.0","Apache-2.0","true","https://registry.npmjs.org/@malept/cross-spawn-promise/-/cross-spawn-promise-2.0.0.tgz"
"@malept/flatpak-bundler","0.4.0","MIT","true","https://registry.npmjs.org/@malept/flatpak-bundler/-/flatpak-bundler-0.4.0.tgz"
"@noble/hashes","1.4.0","MIT","true","https://registry.npmjs.org/@noble/hashes/-/hashes-1.4.0.tgz"
"@noble/hashes","2.2.0","MIT","true","https://registry.npmjs.org/@noble/hashes/-/hashes-2.2.0.tgz"
"@npmcli/agent","4.0.2","ISC","false",""
"@npmcli/arborist","9.9.1","ISC","false",""
"@npmcli/config","10.12.0","ISC","false",""
"@npmcli/fs","5.0.0","ISC","false",""
"@npmcli/git","7.0.2","ISC","false",""
"@npmcli/installed-package-contents","4.0.0","ISC","false",""
"@npmcli/map-workspaces","5.0.3","ISC","false",""
"@npmcli/metavuln-calculator","9.0.3","ISC","false",""
